,Feature1,Feature2,Correlation_x,Correlation_y
0,DML,IP,True,True
1,DML,IPLA,True,True
2,FIR_LIDs_LFS,FIR_LIDs_core,True,True
3,FIR_LIDs_core,FIR_LIDs_LFS,True,True
4,IP,DML,True,True
5,IP,IPLA,True,True
6,IPLA,DML,True,True
7,IPLA,IP,True,True
8,Ne_rho_z1,Ne_rho_z2,True,True
9,Ne_rho_z1,Ne_rho_z3,True,True
10,Ne_rho_z1,Ne_rho_z4,True,True
11,Ne_rho_z1,Ne_rho_z5,True,True
12,Ne_rho_z10,Ne_rho_z11,True,True
13,Ne_rho_z10,Ne_rho_z12,True,True
14,Ne_rho_z10,Ne_rho_z3,True,True
15,Ne_rho_z10,Ne_rho_z4,True,True
16,Ne_rho_z10,Ne_rho_z5,True,True
17,Ne_rho_z10,Ne_rho_z6,True,True
18,Ne_rho_z10,Ne_rho_z7,True,True
19,Ne_rho_z10,Ne_rho_z8,True,True
20,Ne_rho_z10,Ne_rho_z9,True,True
21,Ne_rho_z11,Ne_rho_z10,True,True
22,Ne_rho_z11,Ne_rho_z12,True,True
23,Ne_rho_z11,Ne_rho_z4,True,True
24,Ne_rho_z11,Ne_rho_z5,True,True
25,Ne_rho_z11,Ne_rho_z6,True,True
26,Ne_rho_z11,Ne_rho_z7,True,True
27,Ne_rho_z11,Ne_rho_z8,True,True
28,Ne_rho_z11,Ne_rho_z9,True,True
29,Ne_rho_z12,Ne_rho_z10,True,True
30,Ne_rho_z12,Ne_rho_z11,True,True
31,Ne_rho_z12,Ne_rho_z13,True,True
32,Ne_rho_z12,Ne_rho_z14,True,True
33,Ne_rho_z12,Ne_rho_z15,True,True
34,Ne_rho_z12,Ne_rho_z16,True,True
35,Ne_rho_z12,Ne_rho_z17,True,True
36,Ne_rho_z12,Ne_rho_z18,True,True
37,Ne_rho_z12,Ne_rho_z9,True,True
38,Ne_rho_z13,Ne_rho_z12,True,True
39,Ne_rho_z13,Ne_rho_z14,True,True
40,Ne_rho_z13,Ne_rho_z15,True,True
41,Ne_rho_z13,Ne_rho_z16,True,True
42,Ne_rho_z13,Ne_rho_z17,True,True
43,Ne_rho_z13,Ne_rho_z18,True,True
44,Ne_rho_z14,Ne_rho_z12,True,True
45,Ne_rho_z14,Ne_rho_z13,True,True
46,Ne_rho_z14,Ne_rho_z16,True,True
47,Ne_rho_z14,Ne_rho_z17,True,True
48,Ne_rho_z14,Ne_rho_z18,True,True
49,Ne_rho_z15,Ne_rho_z12,True,True
50,Ne_rho_z15,Ne_rho_z13,True,True
51,Ne_rho_z15,Ne_rho_z16,True,True
52,Ne_rho_z15,Ne_rho_z17,True,True
53,Ne_rho_z15,Ne_rho_z18,True,True
54,Ne_rho_z15,Ne_rho_z19,True,True
55,Ne_rho_z16,Ne_rho_z12,True,True
56,Ne_rho_z16,Ne_rho_z13,True,True
57,Ne_rho_z16,Ne_rho_z14,True,True
58,Ne_rho_z16,Ne_rho_z15,True,True
59,Ne_rho_z16,Ne_rho_z17,True,True
60,Ne_rho_z16,Ne_rho_z18,True,True
61,Ne_rho_z16,Ne_rho_z19,True,True
62,Ne_rho_z17,Ne_rho_z12,True,True
63,Ne_rho_z17,Ne_rho_z13,True,True
64,Ne_rho_z17,Ne_rho_z14,True,True
65,Ne_rho_z17,Ne_rho_z15,True,True
66,Ne_rho_z17,Ne_rho_z16,True,True
67,Ne_rho_z17,Ne_rho_z18,True,True
68,Ne_rho_z17,Ne_rho_z19,True,True
69,Ne_rho_z17,Ne_rho_z20,True,True
70,Ne_rho_z17,Ne_rho_z21,True,True
71,Ne_rho_z18,Ne_rho_z12,True,True
72,Ne_rho_z18,Ne_rho_z13,True,True
73,Ne_rho_z18,Ne_rho_z14,True,True
74,Ne_rho_z18,Ne_rho_z15,True,True
75,Ne_rho_z18,Ne_rho_z16,True,True
76,Ne_rho_z18,Ne_rho_z17,True,True
77,Ne_rho_z18,Ne_rho_z19,True,True
78,Ne_rho_z18,Ne_rho_z20,True,True
79,Ne_rho_z18,Ne_rho_z21,True,True
80,Ne_rho_z18,Ne_rho_z22,True,True
81,Ne_rho_z19,Ne_rho_z15,True,True
82,Ne_rho_z19,Ne_rho_z16,True,True
83,Ne_rho_z19,Ne_rho_z17,True,True
84,Ne_rho_z19,Ne_rho_z18,True,True
85,Ne_rho_z19,Ne_rho_z20,True,True
86,Ne_rho_z19,Ne_rho_z21,True,True
87,Ne_rho_z19,Ne_rho_z22,True,True
88,Ne_rho_z19,Ne_rho_z23,True,True
89,Ne_rho_z19,Ne_rho_z24,True,True
90,Ne_rho_z2,Ne_rho_z1,True,True
91,Ne_rho_z2,Ne_rho_z3,True,True
92,Ne_rho_z2,Ne_rho_z4,True,True
93,Ne_rho_z2,Ne_rho_z5,True,True
94,Ne_rho_z20,Ne_rho_z17,True,True
95,Ne_rho_z20,Ne_rho_z18,True,True
96,Ne_rho_z20,Ne_rho_z19,True,True
97,Ne_rho_z20,Ne_rho_z21,True,True
98,Ne_rho_z20,Ne_rho_z22,True,True
99,Ne_rho_z20,Ne_rho_z23,True,True
100,Ne_rho_z20,Ne_rho_z24,True,True
101,Ne_rho_z20,Ne_rho_z25,True,True
102,Ne_rho_z21,Ne_rho_z17,True,True
103,Ne_rho_z21,Ne_rho_z18,True,True
104,Ne_rho_z21,Ne_rho_z19,True,True
105,Ne_rho_z21,Ne_rho_z20,True,True
106,Ne_rho_z21,Ne_rho_z22,True,True
107,Ne_rho_z21,Ne_rho_z23,True,True
108,Ne_rho_z21,Ne_rho_z24,True,True
109,Ne_rho_z21,Ne_rho_z25,True,True
110,Ne_rho_z21,Ne_rho_z26,True,True
111,Ne_rho_z21,Ne_rho_z27,True,True
112,Ne_rho_z22,Ne_rho_z18,True,True
113,Ne_rho_z22,Ne_rho_z19,True,True
114,Ne_rho_z22,Ne_rho_z20,True,True
115,Ne_rho_z22,Ne_rho_z21,True,True
116,Ne_rho_z22,Ne_rho_z23,True,True
117,Ne_rho_z22,Ne_rho_z24,True,True
118,Ne_rho_z22,Ne_rho_z25,True,True
119,Ne_rho_z22,Ne_rho_z26,True,True
120,Ne_rho_z22,Ne_rho_z27,True,True
121,Ne_rho_z22,Ne_rho_z28,True,True
122,Ne_rho_z22,Ne_rho_z29,True,True
123,Ne_rho_z23,Ne_rho_z19,True,True
124,Ne_rho_z23,Ne_rho_z20,True,True
125,Ne_rho_z23,Ne_rho_z21,True,True
126,Ne_rho_z23,Ne_rho_z22,True,True
127,Ne_rho_z23,Ne_rho_z24,True,True
128,Ne_rho_z23,Ne_rho_z25,True,True
129,Ne_rho_z23,Ne_rho_z26,True,True
130,Ne_rho_z23,Ne_rho_z27,True,True
131,Ne_rho_z23,Ne_rho_z28,True,True
132,Ne_rho_z23,Ne_rho_z29,True,True
133,Ne_rho_z23,Ne_rho_z30,True,True
134,Ne_rho_z23,Ne_rho_z31,True,True
135,Ne_rho_z23,Ne_rho_z32,True,True
136,Ne_rho_z23,Ne_rho_z54,True,True
137,Ne_rho_z23,Ne_rho_z55,True,True
138,Ne_rho_z23,Ne_rho_z56,True,True
139,Ne_rho_z23,Ne_rho_z57,True,True
140,Ne_rho_z24,Ne_rho_z19,True,True
141,Ne_rho_z24,Ne_rho_z20,True,True
142,Ne_rho_z24,Ne_rho_z21,True,True
143,Ne_rho_z24,Ne_rho_z22,True,True
144,Ne_rho_z24,Ne_rho_z23,True,True
145,Ne_rho_z24,Ne_rho_z25,True,True
146,Ne_rho_z24,Ne_rho_z26,True,True
147,Ne_rho_z24,Ne_rho_z27,True,True
148,Ne_rho_z24,Ne_rho_z28,True,True
149,Ne_rho_z24,Ne_rho_z29,True,True
150,Ne_rho_z24,Ne_rho_z30,True,True
151,Ne_rho_z24,Ne_rho_z31,True,True
152,Ne_rho_z24,Ne_rho_z32,True,True
153,Ne_rho_z24,Ne_rho_z33,True,True
154,Ne_rho_z24,Ne_rho_z34,True,True
155,Ne_rho_z24,Ne_rho_z35,True,True
156,Ne_rho_z24,Ne_rho_z36,True,True
157,Ne_rho_z24,Ne_rho_z37,True,True
158,Ne_rho_z24,Ne_rho_z42,True,True
159,Ne_rho_z24,Ne_rho_z43,True,True
160,Ne_rho_z24,Ne_rho_z44,True,True
161,Ne_rho_z24,Ne_rho_z45,True,True
162,Ne_rho_z24,Ne_rho_z46,True,True
163,Ne_rho_z24,Ne_rho_z47,True,True
164,Ne_rho_z24,Ne_rho_z48,True,True
165,Ne_rho_z24,Ne_rho_z49,True,True
166,Ne_rho_z24,Ne_rho_z50,True,True
167,Ne_rho_z24,Ne_rho_z51,True,True
168,Ne_rho_z24,Ne_rho_z52,True,True
169,Ne_rho_z24,Ne_rho_z53,True,True
170,Ne_rho_z24,Ne_rho_z54,True,True
171,Ne_rho_z24,Ne_rho_z55,True,True
172,Ne_rho_z24,Ne_rho_z56,True,True
173,Ne_rho_z24,Ne_rho_z57,True,True
174,Ne_rho_z24,Ne_rho_z58,True,True
175,Ne_rho_z24,Ne_rho_z59,True,True
176,Ne_rho_z24,Te_rho_z14,True,True
177,Ne_rho_z24,Te_rho_z15,True,True
178,Ne_rho_z24,Te_rho_z16,True,True
179,Ne_rho_z24,Te_rho_z17,True,True
180,Ne_rho_z24,Te_rho_z19,True,True
181,Ne_rho_z24,Te_rho_z20,True,True
182,Ne_rho_z24,Te_rho_z21,True,True
